"","X","Periodo","Renta.anual.neta.media.por.persona.y.por.unidad.de.consumo","Edad","Sexo","value"
"52",52,2016,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18137
"53",53,2015,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",17612
"54",54,2014,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",17684
"55",55,2013,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",17694
"56",56,2012,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18268
"57",57,2011,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18584
"58",58,2010,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",19252
"59",59,2009,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",19124
"60",60,2008,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18322
"61",61,2022,"Renta neta media por persona","Menores de 16 años","Ambos sexos",9605
"62",62,2021,"Renta neta media por persona","Menores de 16 años","Ambos sexos",9036
"63",63,2020,"Renta neta media por persona","Menores de 16 años","Ambos sexos",9025
"64",64,2019,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8899
"65",65,2018,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8919
"66",66,2017,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8354
"67",67,2016,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8078
"68",68,2015,"Renta neta media por persona","Menores de 16 años","Ambos sexos",7841
"69",69,2014,"Renta neta media por persona","Menores de 16 años","Ambos sexos",7726
"70",70,2013,"Renta neta media por persona","Menores de 16 años","Ambos sexos",7741
"71",71,2012,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8151
"72",72,2011,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8259
"73",73,2010,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8355
"74",74,2009,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8444
"75",75,2008,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8005
"76",76,2022,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",17489
"77",77,2021,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",16423
"78",78,2020,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",16340
"79",79,2019,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",16094
"80",80,2018,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",16142
"81",81,2017,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",15100
"82",82,2016,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14635
"83",83,2015,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14166
"84",84,2014,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",13970
"85",85,2013,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",13993
"86",86,2012,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14806
"87",87,2011,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14957
"88",88,2010,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",15120
"89",89,2009,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",15323
"90",90,2008,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14476
"91",91,2022,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10830
"92",92,2021,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10203
"93",93,2020,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10175
"94",94,2019,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10036
"95",95,2018,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10039
"96",96,2017,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9410
"97",97,2016,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9042
"98",98,2015,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",8764
"99",99,2014,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",8649
"100",100,2013,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",8596
"101",101,2012,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9019
"102",102,2011,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9248
"103",103,2010,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9318
"104",104,2009,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9272
"105",105,2008,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",8871
"106",106,2022,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",19701
"107",107,2021,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",18527
"108",108,2020,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",18409
"109",109,2019,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",18136
"110",110,2018,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",18147
"111",111,2017,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16989
"112",112,2016,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16363
"113",113,2015,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",15817
"114",114,2014,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",15620
"115",115,2013,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",15525
"116",116,2012,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16367
"117",117,2011,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16733
"118",118,2010,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16851
"119",119,2009,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16809
"120",120,2008,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16030
"121",121,2022,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",11660
"122",122,2021,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10903
"123",123,2020,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",11031
"124",124,2019,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10345
"125",125,2018,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10156
"126",126,2017,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9815
"127",127,2016,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9373
"128",128,2015,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",8935
"129",129,2014,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9004
"130",130,2013,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9438
"131",131,2012,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9727
"132",132,2011,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10032
"133",133,2010,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10651
"134",134,2009,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10797
"135",135,2008,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10321
"136",136,2022,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",18019
"137",137,2021,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",16828
"138",138,2020,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",16967
"139",139,2019,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15907
"140",140,2018,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15514
"141",141,2017,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15043
"142",142,2016,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",14413
"143",143,2015,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",13782
"144",144,2014,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",13829
"145",145,2013,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",14438
"146",146,2012,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",14896
"147",147,2011,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15418
"148",148,2010,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",16306
"149",149,2009,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",16625
"150",150,2008,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15918
"151",151,2022,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",13156
"152",152,2021,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",12353
"153",153,2020,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",12435
"154",154,2019,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11666
"155",155,2018,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11487
"156",156,2017,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11129
"157",157,2016,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10583
"158",158,2015,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10091
"159",159,2014,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10159
"160",160,2013,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10512
"161",161,2012,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10843
"162",162,2011,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11256
"163",163,2010,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11878
"164",164,2009,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11873
"165",165,2008,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11390
"166",166,2022,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",20294
"167",167,2021,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",19020
"168",168,2020,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",19090
"169",169,2019,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17897
"170",170,2018,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17519
"171",171,2017,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17023
"172",172,2016,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",16256
"173",173,2015,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",15545
"174",174,2014,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",15584
"175",175,2013,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",16051
"176",176,2012,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",16561
"177",177,2011,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17246
"178",178,2010,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",18140
"179",179,2009,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",18248
"180",180,2008,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17548
"181",181,2022,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",12974
"182",182,2021,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",12012
"183",183,2020,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",12053
"184",184,2019,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11422
"185",185,2018,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11397
"186",186,2017,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11040
"187",187,2016,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10536
"188",188,2015,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10353
"189",189,2014,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10348
"190",190,2013,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10543
"191",191,2012,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10912
"192",192,2011,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11106
"193",193,2010,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11480
"194",194,2009,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11687
"195",195,2008,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11024
"196",196,2022,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",19343
"197",197,2021,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17994
"198",198,2020,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",18080
"199",199,2019,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17268
"200",200,2018,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17334
"201",201,2017,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",16697
"202",202,2016,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",15886
"203",203,2015,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",15534
"204",204,2014,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",15641
"205",205,2013,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",15873
"206",206,2012,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",16468
"207",207,2011,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",16795
"208",208,2010,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17352
"209",209,2009,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17690
"210",210,2008,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",16673
"211",211,2022,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",14732
"212",212,2021,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",13691
"213",213,2020,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",13702
"214",214,2019,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12985
"215",215,2018,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12890
"216",216,2017,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12507
"217",217,2016,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",11873
"218",218,2015,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",11663
"219",219,2014,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",11644
"220",220,2013,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",11747
"221",221,2012,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12178
"222",222,2011,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12498
"223",223,2010,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12888
"224",224,2009,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12866
"225",225,2008,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12250
"226",226,2022,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",21873
"227",227,2021,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",20416
"228",228,2020,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",20462
"229",229,2019,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",19550
"230",230,2018,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",19533
"231",231,2017,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",18831
"232",232,2016,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",17838
"233",233,2015,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",17435
"234",234,2014,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",17537
"235",235,2013,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",17630
"236",236,2012,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",18298
"237",237,2011,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",18838
"238",238,2010,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",19407
"239",239,2009,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",19431
"240",240,2008,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",18493
"241",241,2022,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",14225
"242",242,2021,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",13373
"243",243,2020,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",13626
"244",244,2019,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12988
"245",245,2018,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12550
"246",246,2017,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12311
"247",247,2016,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",11931
"248",248,2015,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",11591
"249",249,2014,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",11626
"250",250,2013,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",11921
"251",251,2012,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12270
"252",252,2011,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12374
"253",253,2010,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",13047
"254",254,2009,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12906
"255",255,2008,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12413
"256",256,2022,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",20502
"257",257,2021,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",19272
"258",258,2020,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",19522
"259",259,2019,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18668
"260",260,2018,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18040
"261",261,2017,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17659
"262",262,2016,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17090
"263",263,2015,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",16623
"264",264,2014,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",16659
"265",265,2013,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17133
"266",266,2012,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17699
"267",267,2011,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17943
"268",268,2010,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18934
"269",269,2009,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18847
"270",270,2008,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18186
"271",271,2022,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",16439
"272",272,2021,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",15522
"273",273,2020,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",15727
"274",274,2019,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",15006
"275",275,2018,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14547
"276",276,2017,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14244
"277",277,2016,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",13752
"278",278,2015,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",13327
"279",279,2014,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",13459
"280",280,2013,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",13610
"281",281,2012,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14028
"282",282,2011,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14228
"283",283,2010,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14938
"284",284,2009,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14644
"285",285,2008,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14171
"286",286,2022,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",23548
"287",287,2021,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",22224
"288",288,2020,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",22399
"289",289,2019,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",21446
"290",290,2018,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20791
"291",291,2017,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20319
"292",292,2016,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",19585
"293",293,2015,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",19009
"294",294,2014,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",19168
"295",295,2013,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",19455
"296",296,2012,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20120
"297",297,2011,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20510
"298",298,2010,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",21547
"299",299,2009,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",21260
"300",300,2008,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20643
"301",301,2022,"Renta neta media por persona","65 y más años","Ambos sexos",14762
"302",302,2021,"Renta neta media por persona","65 y más años","Ambos sexos",14426
"303",303,2020,"Renta neta media por persona","65 y más años","Ambos sexos",14132
"304",304,2019,"Renta neta media por persona","65 y más años","Ambos sexos",13315
"305",305,2018,"Renta neta media por persona","65 y más años","Ambos sexos",12758
"306",306,2017,"Renta neta media por persona","65 y más años","Ambos sexos",12528
"307",307,2016,"Renta neta media por persona","65 y más años","Ambos sexos",12416
"308",308,2015,"Renta neta media por persona","65 y más años","Ambos sexos",12206
"309",309,2014,"Renta neta media por persona","65 y más años","Ambos sexos",12183
"310",310,2013,"Renta neta media por persona","65 y más años","Ambos sexos",11960
"311",311,2012,"Renta neta media por persona","65 y más años","Ambos sexos",11867
"312",312,2011,"Renta neta media por persona","65 y más años","Ambos sexos",11463
"313",313,2010,"Renta neta media por persona","65 y más años","Ambos sexos",11783
"314",314,2009,"Renta neta media por persona","65 y más años","Ambos sexos",11685
"315",315,2008,"Renta neta media por persona","65 y más años","Ambos sexos",10893
