"","Periodo","Renta.anual.neta.media.por.persona.y.por.unidad.de.consumo","Edad","Sexo","renta"
"195",2008,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11024
"196",2022,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",19343
"197",2021,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17994
"198",2020,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",18080
"199",2019,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17268
"200",2018,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17334
"201",2017,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",16697
"202",2016,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",15886
"203",2015,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",15534
"204",2014,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",15641
"205",2013,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",15873
"206",2012,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",16468
"207",2011,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",16795
"208",2010,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17352
"209",2009,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",17690
"210",2008,"Renta media por unidad de consumo","De 30 a 44 años","Ambos sexos",16673
"211",2022,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",14732
"212",2021,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",13691
"213",2020,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",13702
"214",2019,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12985
"215",2018,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12890
"216",2017,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12507
"217",2016,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",11873
"218",2015,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",11663
"219",2014,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",11644
"220",2013,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",11747
"221",2012,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12178
"222",2011,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12498
"223",2010,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12888
"224",2009,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12866
"225",2008,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Ambos sexos",12250
"226",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",21873
"227",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",20416
"228",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",20462
"229",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",19550
"230",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",19533
"231",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",18831
"232",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",17838
"233",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",17435
"234",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",17537
"235",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",17630
"236",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",18298
"237",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",18838
"238",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",19407
"239",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",19431
"240",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Ambos sexos",18493
"241",2022,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",14225
"242",2021,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",13373
"243",2020,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",13626
"244",2019,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12988
"245",2018,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12550
"246",2017,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12311
"247",2016,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",11931
"248",2015,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",11591
"249",2014,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",11626
"250",2013,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",11921
"251",2012,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12270
"252",2011,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12374
"253",2010,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",13047
"254",2009,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12906
"255",2008,"Renta neta media por persona","De 45 a 64 años","Ambos sexos",12413
"256",2022,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",20502
"257",2021,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",19272
"258",2020,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",19522
"259",2019,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18668
"260",2018,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18040
"261",2017,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17659
"262",2016,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17090
"263",2015,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",16623
"264",2014,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",16659
"265",2013,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17133
"266",2012,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17699
"267",2011,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",17943
"268",2010,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18934
"269",2009,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18847
"270",2008,"Renta media por unidad de consumo","De 45 a 64 años","Ambos sexos",18186
"271",2022,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",16439
"272",2021,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",15522
"273",2020,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",15727
"274",2019,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",15006
"275",2018,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14547
"276",2017,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14244
"277",2016,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",13752
"278",2015,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",13327
"279",2014,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",13459
"280",2013,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",13610
"281",2012,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14028
"282",2011,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14228
"283",2010,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14938
"284",2009,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14644
"285",2008,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Ambos sexos",14171
"286",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",23548
"287",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",22224
"288",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",22399
"289",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",21446
"290",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20791
"291",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20319
"292",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",19585
"293",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",19009
"294",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",19168
"295",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",19455
"296",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20120
"297",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20510
"298",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",21547
"299",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",21260
"300",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Ambos sexos",20643
"301",2022,"Renta neta media por persona","65 y más años","Ambos sexos",14762
"302",2021,"Renta neta media por persona","65 y más años","Ambos sexos",14426
"303",2020,"Renta neta media por persona","65 y más años","Ambos sexos",14132
"304",2019,"Renta neta media por persona","65 y más años","Ambos sexos",13315
"305",2018,"Renta neta media por persona","65 y más años","Ambos sexos",12758
"306",2017,"Renta neta media por persona","65 y más años","Ambos sexos",12528
"307",2016,"Renta neta media por persona","65 y más años","Ambos sexos",12416
"308",2015,"Renta neta media por persona","65 y más años","Ambos sexos",12206
"309",2014,"Renta neta media por persona","65 y más años","Ambos sexos",12183
"310",2013,"Renta neta media por persona","65 y más años","Ambos sexos",11960
"311",2012,"Renta neta media por persona","65 y más años","Ambos sexos",11867
"312",2011,"Renta neta media por persona","65 y más años","Ambos sexos",11463
"313",2010,"Renta neta media por persona","65 y más años","Ambos sexos",11783
"314",2009,"Renta neta media por persona","65 y más años","Ambos sexos",11685
"315",2008,"Renta neta media por persona","65 y más años","Ambos sexos",10893
"316",2022,"Renta media por unidad de consumo","65 y más años","Ambos sexos",19009
"317",2021,"Renta media por unidad de consumo","65 y más años","Ambos sexos",18685
"318",2020,"Renta media por unidad de consumo","65 y más años","Ambos sexos",18304
"319",2019,"Renta media por unidad de consumo","65 y más años","Ambos sexos",17233
"320",2018,"Renta media por unidad de consumo","65 y más años","Ambos sexos",16516
"321",2017,"Renta media por unidad de consumo","65 y más años","Ambos sexos",16197
"322",2016,"Renta media por unidad de consumo","65 y más años","Ambos sexos",16041
"323",2015,"Renta media por unidad de consumo","65 y más años","Ambos sexos",15774
"324",2014,"Renta media por unidad de consumo","65 y más años","Ambos sexos",15809
"325",2013,"Renta media por unidad de consumo","65 y más años","Ambos sexos",15574
"326",2012,"Renta media por unidad de consumo","65 y más años","Ambos sexos",15549
"327",2011,"Renta media por unidad de consumo","65 y más años","Ambos sexos",15053
"328",2010,"Renta media por unidad de consumo","65 y más años","Ambos sexos",15566
"329",2009,"Renta media por unidad de consumo","65 y más años","Ambos sexos",15390
"330",2008,"Renta media por unidad de consumo","65 y más años","Ambos sexos",14387
"331",2022,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",18046
"332",2021,"Renta media por persona (con alquiler imputado)","65 y más años","Ambos sexos",17544
