"","Sexo","Edad","Tipo de jornada","Tipo de dato","Periodo","Total"
"105","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2020,"106,4"
"106","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2019,"150,5"
"107","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2018,"134"
"108","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2017,"117,9"
"109","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2016,"95,8"
"110","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2015,"83,8"
"111","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2014,"79,4"
"112","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2013,"74,4"
"113","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2012,"84"
"114","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2011,"124,1"
"115","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2010,"151,4"
"116","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2009,"204,4"
"117","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2008,"329,2"
"118","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2007,"397,4"
"119","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2006,"386,6"
"120","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2022,"100"
"121","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2021,"100"
"122","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2020,"100"
"123","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2019,"100"
"124","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2018,"100"
"125","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2017,"100"
"126","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2016,"100"
"127","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2015,"100"
"128","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2014,"100"
"129","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2013,"100"
"130","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2012,"100"
"131","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2011,"100"
"132","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2010,"100"
"133","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2009,"100"
"134","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2008,"100"
"135","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2007,"100"
"136","Ambos sexos","De 16 a 19 años","Total","Porcentaje",2006,"100"
"137","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2022,"72,6"
"138","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2021,"56,8"
"139","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2020,"48,1"
"140","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2019,"71,9"
"141","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2018,"66,1"
"142","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2017,"59"
"143","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2016,"45,5"
"144","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2015,"39,9"
"145","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2014,"36,3"
"146","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2013,"36,6"
"147","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2012,"43,9"
"148","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2011,"63,9"
"149","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2010,"90,3"
"150","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2009,"128,7"
"151","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2008,"222,2"
"152","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2007,"281,7"
"153","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Valor absoluto",2006,"272,7"
"154","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2022,"46,2"
"155","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2021,"44,9"
"156","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2020,"45,2"
"157","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2019,"47,8"
"158","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2018,"49,3"
"159","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2017,"50"
"160","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2016,"47,5"
"161","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2015,"47,7"
"162","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2014,"45,7"
"163","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2013,"49,3"
"164","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2012,"52,2"
"165","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2011,"51,5"
"166","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2010,"59,6"
"167","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2009,"62,9"
"168","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2008,"67,5"
"169","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2007,"70,9"
"170","Ambos sexos","De 16 a 19 años","Jornada a tiempo completo","Porcentaje",2006,"70,5"
"171","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2022,"84,7"
"172","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2021,"69,6"
"173","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2020,"58,3"
"174","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2019,"78,6"
"175","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2018,"67,9"
"176","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2017,"59"
"177","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2016,"50,3"
"178","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2015,"43,9"
"179","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2014,"43,1"
"180","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2013,"37,7"
"181","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2012,"40,1"
"182","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2011,"60,1"
"183","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2010,"61,2"
"184","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2009,"75,7"
"185","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2008,"107"
"186","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2007,"115,7"
"187","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Valor absoluto",2006,"113,9"
"188","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2022,"53,8"
"189","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2021,"55,1"
"190","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2020,"54,8"
"191","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2019,"52,2"
"192","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2018,"50,7"
"193","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2017,"50"
"194","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2016,"52,5"
"195","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2015,"52,3"
"196","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2014,"54,3"
"197","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2013,"50,7"
"198","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2012,"47,8"
"199","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2011,"48,5"
"200","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2010,"40,4"
"201","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2009,"37,1"
"202","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2008,"32,5"
"203","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2007,"29,1"
"204","Ambos sexos","De 16 a 19 años","Jornada a tiempo parcial","Porcentaje",2006,"29,5"
"205","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2022,"982,5"
"206","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2021,"869"
"207","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2020,"777,5"
"208","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2019,"888,2"
"209","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2018,"855,3"
"210","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2017,"803,2"
"211","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2016,"724,5"
"212","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2015,"718,9"
"213","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2014,"669,2"
"214","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2013,"688,9"
"215","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2012,"768,8"
"216","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2011,"917,6"
"217","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2010,"1.059"
"218","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2009,"1.192,8"
"219","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2008,"1.507,7"
"220","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2007,"1.616,4"
"221","Ambos sexos","De 20 a 24 años","Total","Valor absoluto",2006,"1.655,2"
"222","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2022,"100"
"223","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2021,"100"
"224","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2020,"100"
"225","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2019,"100"
"226","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2018,"100"
"227","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2017,"100"
"228","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2016,"100"
"229","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2015,"100"
"230","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2014,"100"
"231","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2013,"100"
"232","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2012,"100"
"233","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2011,"100"
"234","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2010,"100"
"235","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2009,"100"
"236","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2008,"100"
"237","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2007,"100"
"238","Ambos sexos","De 20 a 24 años","Total","Porcentaje",2006,"100"
"239","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2022,"636,5"
"240","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2021,"554,6"
"241","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2020,"507,6"
"242","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2019,"588,9"
"243","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2018,"554,6"
"244","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2017,"510,2"
"245","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2016,"457,5"
"246","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2015,"458,2"
"247","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2014,"421"
"248","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2013,"422,8"
"249","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2012,"507,1"
"250","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2011,"637,9"
"251","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2010,"761,1"
"252","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2009,"912,7"
"253","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2008,"1.193,1"
"254","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2007,"1.304,5"
"255","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Valor absoluto",2006,"1.338,4"
"256","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2022,"64,8"
"257","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2021,"63,8"
"258","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2020,"65,3"
"259","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2019,"66,3"
"260","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2018,"64,8"
"261","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2017,"63,5"
"262","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2016,"63,1"
"263","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2015,"63,7"
"264","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2014,"62,9"
"265","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2013,"61,4"
"266","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2012,"66"
"267","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2011,"69,5"
"268","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2010,"71,9"
"269","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2009,"76,5"
"270","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2008,"79,1"
"271","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2007,"80,7"
"272","Ambos sexos","De 20 a 24 años","Jornada a tiempo completo","Porcentaje",2006,"80,9"
"273","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2022,"346"
"274","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2021,"314,5"
"275","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2020,"269,9"
"276","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2019,"299,2"
"277","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2018,"300,7"
"278","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2017,"293"
"279","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2016,"267,1"
"280","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2015,"260,6"
"281","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2014,"248,2"
"282","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2013,"266,1"
"283","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2012,"261,7"
"284","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2011,"279,7"
"285","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2010,"298"
"286","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2009,"280"
"287","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2008,"314,5"
"288","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2007,"311,9"
"289","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Valor absoluto",2006,"316,8"
"290","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2022,"35,2"
"291","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2021,"36,2"
"292","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2020,"34,7"
"293","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2019,"33,7"
"294","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2018,"35,2"
"295","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2017,"36,5"
"296","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2016,"36,9"
"297","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2015,"36,3"
"298","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2014,"37,1"
"299","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2013,"38,6"
"300","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2012,"34"
"301","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2011,"30,5"
"302","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2010,"28,1"
"303","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2009,"23,5"
"304","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2008,"20,9"
"305","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2007,"19,3"
"306","Ambos sexos","De 20 a 24 años","Jornada a tiempo parcial","Porcentaje",2006,"19,1"
"307","Ambos sexos","De 25 a 29 años","Total","Valor absoluto",2022,"1.751,6"
"308","Ambos sexos","De 25 a 29 años","Total","Valor absoluto",2021,"1.660,8"
"309","Ambos sexos","De 25 a 29 años","Total","Valor absoluto",2020,"1.594,5"
"310","Ambos sexos","De 25 a 29 años","Total","Valor absoluto",2019,"1.701,7"
"311","Ambos sexos","De 25 a 29 años","Total","Valor absoluto",2018,"1.673"
"312","Ambos sexos","De 25 a 29 años","Total","Valor absoluto",2017,"1.626,1"
"313","Ambos sexos","De 25 a 29 años","Total","Valor absoluto",2016,"1.592,5"
"314","Ambos sexos","De 25 a 29 años","Total","Valor absoluto",2015,"1.577,6"
